Charger station, Location, approx coordinates, Power, evse_uid, evse_id, Comment
Alfredsson Energy, Norrköping, 58°37'17.6"N 16°10'02.0"E, 300, 679be20ee22a398723cf5de7, SE-VIA-E00000049,
Alfredsson Energy, Norrköping, 58°37'17.6"N 16°10'02.0"E, 300, 679be20ee22a398723cf5de9, SE-VIA-E00000050,
Alfredsson Energy, Norrköping, 58°37'17.6"N 16°10'02.0"E, 300, 67a50b23e22a398723cf5df1, SE-VIA-E00000051,
Alfredsson Energy, Norrköping, 58°37'17.6"N 16°10'02.0"E, 300, 67a50b23e22a398723cf5df3, SE-VIA-E00000052,
Alfredsson Energy, Norrköping, 58°37'17.6"N 16°10'02.0"E, 300, 67a50b23e22a398723cf5df5, SE-VIA-E00000053,
Alfredsson Energy, Norrköping, 58°37'17.6"N 16°10'02.0"E, 300, 67a50b23e22a398723cf5df7, SE-VIA-E00000054,
Alfredsson Energy, Norrköping, 58°37'17.6"N 16°10'02.0"E, 500, 67a60c23e22a398723cf5df7, SE-VIA-E00000056, MCS?
Circle K, Värnamo, 57°09'52.3"N 14°04'36.6"E, 999, 7155c57f-5cca-464c-85fa-52c0481e7a0e, SE*CKE*E40564*2, MCS
Circle K, Värnamo, 57°09'52.3"N 14°04'36.6"E, 600, 5caee386-269e-42ae-8893-d7a354823390, SE*CKE*E40564*1,
Circle K, Värnamo, 57°09'52.3"N 14°04'36.6"E, 600, b5db9c82-3221-4c26-841b-b977b9640d30, SE*CKE*E40547*1,
Circle K, Värnamo, 57°09'52.3"N 14°04'36.6"E, 600, c398efcc-78ba-4670-8ea2-0f950bf4f80e, SE*CKE*E40547*2,









